1,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
2,47都道府県地酒と季節の鮮魚 UMAMI（ウマミ）日本酒弐番館,050-5485-6250,,神奈川県,横浜市神奈川区鶴屋町,2-24-1,谷川ビルB1,https://yokohamaumaminibankan.gorp.jp/,True
3,地鶏食べ放題 完全個室 ごちそうさん上野店,050-5489-4854,,東京都,台東区上野,6-4-14,,https://ge6a114.gorp.jp/,True
4,産直海鮮和食と個室 佐渡島へ渡れ 上野店,050-5485-2454,,東京都,台東区上野,2-12-1,セントラル21 7F,https://g725438.gorp.jp/,True
5,酒亭 じゅらく 上野店,050-5485-8486,,東京都,台東区上野,6-11-6,,https://g095628.gorp.jp/,True
6,丸亀製麺 大津坂本店,077-579-8766,,滋賀県,大津市下阪本,4-3-21,,https://kcjm125.gorp.jp/,True
7,GURUNAVI FOODHALL WYE 天空橋,050-5484-8362,,東京都,大田区羽田空港,1-1-4,2F,https://ghst101.gorp.jp/,True
8,エビス 穴守稲荷総本店,03-3743-5588,,東京都,大田区羽田,4-21-1,,https://ghjr202.gorp.jp/,True
9,隠れ家中華個室 珍味楼 糀谷駅前店,050-5484-9866,,東京都,大田区西糀谷,4-14-14,華聯ビル,https://g616100.gorp.jp/,True
10,膳坊,03-5736-1625,,東京都,大田区萩中,2-8-16,,https://gh3b100.gorp.jp/,True
11,エベレスト,050-5485-1675,,東京都,大田区蒲田,5-18-3,NO．1太陽ビル1F,https://everestkamata.gorp.jp/,True
12,チョウタリー レストラン＆バー,050-5484-3126,,東京都,三鷹市深大寺,2-40-17,第一黒澤コーポ1F,https://ggms801.gorp.jp/,True
13,鰻の成瀬 井荻店,050-5488-6420,,東京都,杉並区下井草,5-11-10,,https://gj3w742.gorp.jp/,True
14,宮崎地鶏炭火焼『車』三鷹店,050-5485-0995,,東京都,三鷹市下連雀,3-44-13,ライオンズプラザ三鷹2F,https://g696908.gorp.jp/,True
15,完全個室完備×地鶏酒場 鶏喜鶏喜‐チョキチョキ‐ 秋葉原本店,050-5494-5983,,東京都,千代田区神田佐久間町,2-13-3,B1,https://gcf7402.gorp.jp/,True
16,本場シェフの絶品中華 台湾菜館 弘城 蒲田西口店,050-5485-9535,,東京都,大田区西蒲田,7-3-7,弘城ビル4F,https://a329603.gorp.jp/,True
17,鰻の成瀬 井荻店,050-5488-6420,,東京都,杉並区下井草,5-11-10,,https://gj3w742.gorp.jp/,True
18,江戸前うなぎ かわ祥 東急吉祥寺店,050-5485-1398,,東京都,武蔵野市吉祥寺本町,2-3-1,東急吉祥寺店9F,https://g383658.gorp.jp/,True
19,カステリーナ 横浜,050-5488-2070,,神奈川県,横浜市西区北幸,2-6-5,GEMS横浜4F,https://ggra200.gorp.jp/,True
20,プーケットオリエンタル 横浜駅店,050-5488-2273,,神奈川県,横浜市西区北幸,2-6-5,GEMS横浜1F,https://ga1t410.gorp.jp/,True
21,天寿し 横浜店,050-5492-0507,,神奈川県,横浜市西区南幸,2-17-8,横浜トラストビル7F,https://gfcz515.gorp.jp/,True
22,甘太郎 横浜北幸店,050-5492-5373,,神奈川県,横浜市西区北幸,1-8-6,横浜西口三栄ビル6F,https://ghk4500.gorp.jp/,True
23,燻製バル The Ene,050-5488-3267,,神奈川県,横浜市西区岡野,1-13-5,横浜西口サンエースビル1F,https://p942406.gorp.jp/,True
24,生粉 手打そば 結喜庵,050-5493-7988,,広島県,広島市中区幟町,8-15,,https://y780700.gorp.jp/,True
25,居酒屋 八蔵 筑後店,050-5486-1431,,福岡県,筑後市徳久,233-1,,https://fb93404.gorp.jp/,True
26,焼肉 恩匠,050-5489-0531,,福岡県,八女市本町,1-16-1,,https://fbp6001.gorp.jp/,True
27,憩酒屋Dining 壱歩,050-5485-2471,,福岡県,柳川市東蒲池,636-7,,https://fby6100.gorp.jp/,True
28,韓国居酒屋 ぶりや チカチキン 心斎橋店,050-5487-7524,,大阪府,大阪市中央区東心斎橋,2-4-19,玉屋町ギャラクシービル3号館2F,https://kd8j401.gorp.jp/,True
29,海鮮和風居酒屋 かつら亭 心斎橋店,050-5485-1956,,大阪府,大阪市中央区南船場,4-4-3,東急ビルB1,https://katsuratei1.gorp.jp/,True
30,焼き鳥 炭焼キッチン Tenten 心斎橋店,050-5484-6589,,大阪府,大阪市中央区心斎橋筋,1-4-3,トダビル1F,https://tentenshinsaibashiten.gorp.jp/,True
31,すしほまれ,050-5486-7136,,北海道,札幌市中央区南,2条西22-1-48,,https://h975001.gorp.jp/,True
32,すし処 利和,050-5486-7820,,北海道,札幌市中央区南,5条西18-2-32,,https://ha02600.gorp.jp/,True
33,料理屋 素,050-5487-9290,,北海道,札幌市中央区北,1条西28-2-18,,https://h642700.gorp.jp/,True
34,炭火居酒屋とりの介 時計台通り店,050-5488-8657,,北海道,札幌市中央区北,2条西2-34,フージャース札幌ビルB1,https://h062272.gorp.jp/,True
35,海鮮個室酒場 伊まり 札幌駅JR55ビル店,050-5492-4526,,北海道,札幌市中央区北,5条西5-1-5,JR55ビル,https://h554811.gorp.jp/,True
36,おでんとさかな せろり。 札幌駅前店,050-5486-8496,,北海道,札幌市中央区北,2条西2-19,アパホテルTKP札幌ビル1F,https://ha6g200.gorp.jp/,True
37,FOREST DINER （フォレストダイナー） 札幌店,050-5488-2494,,北海道,札幌市中央区北,3条西4-1,D-LIFEPLACE札幌1F,https://ha6n700.gorp.jp/,True
38,楽韓堂 心斎橋店,050-5486-3011,,大阪府,大阪市中央区東心斎橋,2-8-3,日宝笠屋町会館1F,https://k536901.gorp.jp/,True
39,ロータリーピア88,050-5488-4885,,滋賀県,大津市苗鹿,3-12-1,,https://kdmm700.gorp.jp/,True
40,おごと温泉 びわこ緑水亭,050-5485-4642,,滋賀県,大津市雄琴,6-1-6,,https://kak6700.gorp.jp/,True
41,炭匠 瀬田 とりんちゅ,050-5487-1801,,滋賀県,大津市大萱,1-14-16,,https://setatorinchu.gorp.jp/,True
42,炉ばた居酒屋 大蔵家 石山総本店,050-5484-3494,,滋賀県,大津市粟津町,17-16,,https://ookuraya-honten.gorp.jp/,True
43,ささ川,050-5484-1603,,新潟県,柏崎市中央町,9-17,,https://r764200.gorp.jp/,True
44,江戸川 あべのハルカスダイニング店,050-5484-8025,,大阪府,大阪市阿倍野区阿倍野筋,1-1-43,あべのハルカス近鉄本店タワー館12F,https://k170059.gorp.jp/,True
45,ビランチャ 梅田店,050-5488-3812,,大阪府,大阪市北区茶屋町,10-12,NU茶屋町8F,https://kdf0015.gorp.jp/,True
46,イタリアンレストラン ラヴァーニャ ～ルクア大阪～,050-5485-7327,,大阪府,大阪市北区梅田,3-1-3,ルクア10F,https://k021721.gorp.jp/,True
47,梅田 夜景 M PRIME,050-5484-1783,,大阪府,大阪市北区梅田,1-1-3,大阪駅前第3ビル32F,https://mprime-umeda.gorp.jp/,True
48,KELLER KELLER KRANZ ‐ケラケラクランツ‐,050-1808-8728,,大阪府,大阪市北区小松原町,2-4,大阪富国生命ビル フコクフォレストスクエア B2,https://c297909.gorp.jp/,True
49,隠れ家個室居酒屋 和菜美‐wasabi‐ 梅田店,050-5487-4682,,大阪府,大阪市北区芝田,1-3-1,ギャザ阪急4F,https://kef1500.gorp.jp/,True
50,個室居酒屋 炭火と焼き鳥 鶏っく 大阪駅前うめきた店,050-5485-6567,,大阪府,大阪市北区芝田,2-3-9,excel梅田ビル4Ｆ,https://trick-umekita.gorp.jp/,True
51,全席個室 地鶏居酒屋 鶏っく梅田店,050-5485-9385,,大阪府,大阪市北区堂山町,7-7,角庄ビル7F,https://trick-umeda.gorp.jp/,True
