"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"洋風（鮭）酒場鮭cafe＆bar 銀結び","050-5494-7420"," ","宮城県","仙台市青葉区国分町","=""2-13-28""","ニュー若竹ビル1F","https://ta3u301.gorp.jp/","True"
"個室で楽しむ宮城の日本酒きょういち","050-5484-1963"," ","宮城県","仙台市青葉区国分町","=""2-11-8""","MSCビルディング2F","https://kyoichi.gorp.jp/","True"
"宮城の郷土料理 個室×おかげ家仙台本店","050-5486-6173"," ","宮城県","仙台市青葉区中央","=""2-6-6""","多楽茶屋ビルB1","https://okageya.gorp.jp/","True"
"牛タンとせり鍋 全席完全個室居酒屋一之蔵 仙台駅前店","050-5488-6298"," ","宮城県","仙台市青葉区中央","=""3-6-12""","4F","https://t834309.gorp.jp/","True"
"おもてなしの個室しゃぶしゃぶ すき焼き 梵天丸","050-5484-1750"," ","宮城県","仙台市青葉区国分町","=""2-10-23""","丸伊プラザ2F","https://sendai-bontenmal.gorp.jp/","True"
"大衆酒場 たむちゃん","050-5487-1388"," ","宮城県","仙台市青葉区国分町","=""2-7-5""","国分町KYパークビル4F","https://ta66301.gorp.jp/","True"
"伊達のいろり焼 蔵の庄 総本店（仙台駅前）","050-5485-6573"," ","宮城県","仙台市青葉区中央","=""1-8-38""","AKビル4F","https://t021209.gorp.jp/","True"
"個室居酒屋 四季彩‐Shikisai‐仙台駅前店","050-5487-4476"," ","宮城県","仙台市青葉区中央","=""3-1-3""","aune仙台6F","https://ta20500.gorp.jp/","True"
"Season 花蔵－kagura－","050-5487-6101"," ","宮城県","仙台市青葉区中央","=""2-11-26""","ホテルドーミーイン仙台アネックス1F","https://season-kagura.gorp.jp/","True"
"仙台キッチン～SENDAI KITCHEN～","050-5494-2619"," ","宮城県","仙台市宮城野区榴岡","=""1-1-1""","JR仙台イーストゲートビル2F","https://ta4v600.gorp.jp/","True"
"和食 波奈仙台店","050-5484-7658"," ","宮城県","仙台市青葉区中央","=""2-1-1"""," ","https://washoku-hana-sendaiten.gorp.jp/","True"
"伊達のいろり焼 蔵の庄一番町本店","050-5484-4912"," ","宮城県","仙台市青葉区一番町","=""3-8-14""","鈴喜アバンティビル2F","https://t021231.gorp.jp/","True"
"居酒屋 金市朗 国分町店","050-5484-8403"," ","宮城県","仙台市青葉区国分町","=""2-15-2""","グランパレビル2F","https://kinichirokokubuncho.gorp.jp/","True"
"かこいや仙台駅前店","050-5484-2154"," ","宮城県","仙台市青葉区中央","=""3-6-10""","フージャース仙台駅前ビル6F","https://t003305.gorp.jp/","True"
"郷土料理と地酒宮城の蔵 仙台駅前店","050-5494-2176"," ","宮城県","仙台市青葉区中央","=""4-1-3""","仙台プレイビル3F","https://ta00801.gorp.jp/","True"
