店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
大衆酒場 たむちゃん,050-5487-1388, ,宮城県,仙台市青葉区国分町,'2-7-5,国分町KYパークビル4F,https://ta66301.gorp.jp/,True
伊達魚貝料理 仙台藩南町通りの一軒家高級割烹料理店,050-5485-3844, ,宮城県,仙台市青葉区中央,'3-9-20,南町通り,https://t357700.gorp.jp/,True
牛タンとせり鍋 全席完全個室居酒屋一之蔵 仙台駅前店,050-5488-6298, ,宮城県,仙台市青葉区中央,'3-6-12,4F,https://t834309.gorp.jp/,True
旨唐揚げと居酒メシ ミライザカ仙台駅西口プレイビル店,050-5492-3993, ,宮城県,仙台市青葉区中央,'4-1-3,プレイビル1F, , 
宮城の郷土料理 個室×おかげ家仙台本店,050-5486-6173, ,宮城県,仙台市青葉区中央,'2-6-6,多楽茶屋ビルB1,https://okageya.gorp.jp/,True
チョコレートな関係 cafe ＆ cake,050-5487-5595, ,宮城県,仙台市青葉区一番町,'2-6-17,内ヶ崎ビル2F,https://ta1h797.gorp.jp/,True
三陸海鮮と地元牧場のお肉 仙台海蔵全席ドア付き個室,050-5485-6509, ,宮城県,仙台市青葉区国分町,'2-1-22, , , 
街道青葉,022-222-0018, ,宮城県,仙台市青葉区中央,'2-4-7, ,https://kaidouaoba.gorp.jp/,True
Season 花蔵－kagura－,050-5487-6101, ,宮城県,仙台市青葉区中央,'2-11-26,ホテルドーミーイン仙台アネックス1F,https://season-kagura.gorp.jp/,True
和食 波奈仙台店,050-5484-7658, ,宮城県,仙台市青葉区中央,'2-1-1, ,https://washoku-hana-sendaiten.gorp.jp/,True
仙台キッチン～SENDAI KITCHEN～,050-5494-2619, ,宮城県,仙台市宮城野区榴岡,'1-1-1,JR仙台イーストゲートビル2F,https://ta4v600.gorp.jp/,True
個室居酒屋 四季彩‐Shikisai‐仙台駅前店,050-5487-4476, ,宮城県,仙台市青葉区中央,'3-1-3,aune仙台6F,https://ta20500.gorp.jp/,True
大人の隠れ家 個室 全席喫煙可能伊達家 仙台駅前店,050-5493-7554, ,宮城県,仙台市青葉区中央,'1-8-26,ラ・サーミビル3F,https://ta4t702.gorp.jp/,True
金市朗仙台南町通店,050-5487-3796, ,宮城県,仙台市青葉区中央,'3-6-12,仙台南町通ビル3F,https://kinichiro-minamimachi.gorp.jp/,True
個室居酒屋 くいもの屋わん仙台西口店,050-5484-2048, ,宮城県,仙台市青葉区中央,'1-10-1,ヒューモスファイブB1,https://wan-sendainishiguchi.gorp.jp/,True
九州魂 仙台西口店,050-5494-1979, ,宮城県,仙台市青葉区中央,'3-1-3,aune仙台5F,https://t078526.gorp.jp/,True
【個室完備】和食居酒屋 和咲美 ‐wasabi‐ 仙台駅前店,050-5486-8585, ,宮城県,仙台市青葉区中央,'1-8-26,ラ・サーミビル2F,https://ta7u300.gorp.jp/,True
仙台みそ料理と個室和食新古々がみそ 仙台駅前,050-5484-2720, ,宮城県,仙台市青葉区中央,'1-7-1,第一志ら梅ビル3F,https://shinkokomiso.gorp.jp/,True
三陸・宮城のうまいもの 瑠璃座,050-5484-9779, ,宮城県,仙台市青葉区国分町,'2-6-1,やぶやビルB1,https://ruriza.gorp.jp/,True
韓国料理 ソウルオモニ,050-5492-0232, ,宮城県,仙台市青葉区中央,'2-6-7,太田屋ビル2F,https://t021230.gorp.jp/,True
完全個室居酒屋 伊達なおもてなしＤＵＣＣＡ 仙台駅前店,050-5485-3955, ,宮城県,仙台市青葉区中央,'3-6-10,フージャース仙台駅前ビル3F,https://ducca.gorp.jp/,True
かこいや仙台駅前店,050-5484-2154, ,宮城県,仙台市青葉区中央,'3-6-10,フージャース仙台駅前ビル6F,https://t003305.gorp.jp/,True
個室で楽しむ宮城の日本酒きょういち,050-5484-1963, ,宮城県,仙台市青葉区国分町,'2-11-8,MSCビルディング2F,https://kyoichi.gorp.jp/,True
炭火焼 山塞料理 地雷也,050-5484-3338, ,宮城県,仙台市青葉区国分町,'2-1-15,猪股ビルB1,https://t024400.gorp.jp/,True
仙台個室居酒屋×全席喫煙可杜のおかえり,050-5487-9105, ,宮城県,仙台市青葉区国分町,'2-1-1,19フジビル5F,https://morinookaeri.gorp.jp/,True
鮭料理専門店宮城ゴチ酒場 銀結び,050-5488-7105, ,宮城県,仙台市青葉区国分町,'2-13-28,ニュー若竹ビル2F,https://ta3u300.gorp.jp/,True
牛タンとせり鍋 全席完全個室居酒屋一之蔵 仙台駅前店,050-5488-6298, ,宮城県,仙台市青葉区中央,'3-6-12,4F,https://t834309.gorp.jp/,True
旨唐揚げと居酒メシ ミライザカ仙台駅西口プレイビル店,050-5492-3993, ,宮城県,仙台市青葉区中央,'4-1-3,プレイビル1F, , 
宮城の郷土料理 個室×おかげ家仙台本店,050-5486-6173, ,宮城県,仙台市青葉区中央,'2-6-6,多楽茶屋ビルB1,https://okageya.gorp.jp/,True
日本料理 花はん,050-5485-0998, ,宮城県,仙台市青葉区国分町,'2-14-18,定禅寺パークビルB1, , 
三陸海鮮と地元牧場のお肉 仙台海蔵全席ドア付き個室,050-5485-6509, ,宮城県,仙台市青葉区国分町,'2-1-22, , , 
