"店舗名","電話番号","メールアドレス","都道府県","市区町村","番地","建物名","URL","SSL"
"キャンティ・ヴォーノ","050-5484-6521","","宮城県","仙台市青葉区一番町","'3-8-4","大雅ビル2F","https://t046600.gorp.jp/","True"
"伊達魚貝料理 仙台藩 南町通りの一軒家高級割烹料理店","050-5485-3844","","宮城県","仙台市青葉区中央","'3-9-20","南町通り","https://t357700.gorp.jp/","True"
"牛タンとせり鍋 全席完全個室居酒屋 一之蔵 仙台駅前店","050-5488-6298","","宮城県","仙台市青葉区中央","'3-6-12","4F","https://t834309.gorp.jp/","True"
"旨唐揚げと居酒メシ ミライザカ 仙台駅西口プレイビル店","050-5492-3993","","宮城県","仙台市青葉区中央","'4-1-3","プレイビル1F",""," "
"宮城の郷土料理 個室×おかげ家 仙台本店","050-5486-6173","","宮城県","仙台市青葉区中央","'2-6-6","多楽茶屋ビルB1","https://okageya.gorp.jp/","True"
"鉄板 松阪屋","050-5486-8540","","宮城県","仙台市青葉区国分町","'1-6-1","ルナパーク一番町ビル3F","https://matsuzakaya.gorp.jp/","True"
"三陸海鮮と地元牧場のお肉 仙台海蔵 全席ドア付き個室","050-5485-6509","","宮城県","仙台市青葉区国分町","'2-1-22","",""," "
"街道 青葉","022-222-0018","","宮城県","仙台市青葉区中央","'2-4-7","","https://kaidouaoba.gorp.jp/","True"
"Season 花蔵－kagura－","050-5487-6101","","宮城県","仙台市青葉区中央","'2-11-26","ホテルドーミーイン仙台アネックス1F","https://season-kagura.gorp.jp/","True"
"和食 波奈 仙台店","050-5484-7658","","宮城県","仙台市青葉区中央","'2-1-1","","https://washoku-hana-sendaiten.gorp.jp/","True"
"仙台キッチン～SENDAI KITCHEN～","050-5494-2619","","宮城県","仙台市宮城野区榴岡","'1-1-1","JR仙台イーストゲートビル2F","https://ta4v600.gorp.jp/","True"
"個室居酒屋 四季彩‐Shikisai‐ 仙台駅前店","050-5487-4476","","宮城県","仙台市青葉区中央","'3-1-3","aune仙台6F","https://ta20500.gorp.jp/","True"
"大人の隠れ家 個室 全席喫煙可能 伊達家 仙台駅前店","050-5493-7554","","宮城県","仙台市青葉区中央","'1-8-26","ラ・サーミビル3F","https://ta4t702.gorp.jp/","True"
"金市朗 仙台南町通店","050-5487-3796","","宮城県","仙台市青葉区中央","'3-6-12","仙台南町通ビル3F","https://kinichiro-minamimachi.gorp.jp/","True"
"個室居酒屋 くいもの屋わん 仙台西口店","050-5484-2048","","宮城県","仙台市青葉区中央","'1-10-1","ヒューモスファイブB1","https://wan-sendainishiguchi.gorp.jp/","True"
"九州魂 仙台西口店","050-5494-1979","","宮城県","仙台市青葉区中央","'3-1-3","aune仙台5F","https://t078526.gorp.jp/","True"
"【個室完備】和食居酒屋 和咲美 ‐wasabi‐ 仙台駅前店","050-5486-8585","","宮城県","仙台市青葉区中央","'1-8-26","ラ・サーミビル2F","https://ta7u300.gorp.jp/","True"
"仙台みそ料理と個室和食 新古々がみそ 仙台駅前","050-5484-2720","","宮城県","仙台市青葉区中央","'1-7-1","第一志ら梅ビル3F","https://shinkokomiso.gorp.jp/","True"
"三陸・宮城のうまいもの 瑠璃座","050-5484-9779","","宮城県","仙台市青葉区国分町","'2-6-1","やぶやビルB1","https://ruriza.gorp.jp/","True"
"韓国料理 ソウルオモニ","050-5492-0232","","宮城県","仙台市青葉区中央","'2-6-7","太田屋ビル2F","https://t021230.gorp.jp/","True"
"完全個室居酒屋 伊達なおもてなし ＤＵＣＣＡ 仙台駅前店","050-5485-3955","","宮城県","仙台市青葉区中央","'3-6-10","フージャース仙台駅前ビル3F","https://ducca.gorp.jp/","True"
"かこいや 仙台駅前店","050-5484-2154","","宮城県","仙台市青葉区中央","'3-6-10","フージャース仙台駅前ビル6F","https://t003305.gorp.jp/","True"
"個室で楽しむ宮城の日本酒 きょういち","050-5484-1963","","宮城県","仙台市青葉区国分町","'2-11-8","MSCビルディング2F","https://kyoichi.gorp.jp/","True"
"個室で楽しむ宮城の日本酒 きょういち","050-5484-1963","","宮城県","仙台市青葉区国分町","'2-11-8","MSCビルディング2F","https://kyoichi.gorp.jp/","True"
"仙台牛と和風個室 すていき小次郎","050-5486-2309","","宮城県","仙台市青葉区立町","'15-3","","https://steak-kojiro.gorp.jp/","True"
"洋風（鮭）酒場 鮭cafe＆bar 銀結び","050-5494-7420","","宮城県","仙台市青葉区国分町","'2-13-28","ニュー若竹ビル1F","https://ta3u301.gorp.jp/","True"
"牛タンとせり鍋 全席完全個室居酒屋 一之蔵 仙台駅前店","050-5488-6298","","宮城県","仙台市青葉区中央","'3-6-12","4F","https://t834309.gorp.jp/","True"
"旨唐揚げと居酒メシ ミライザカ 仙台駅西口プレイビル店","050-5492-3993","","宮城県","仙台市青葉区中央","'4-1-3","プレイビル1F",""," "
"宮城の郷土料理 個室×おかげ家 仙台本店","050-5486-6173","","宮城県","仙台市青葉区中央","'2-6-6","多楽茶屋ビルB1","https://okageya.gorp.jp/","True"
"割烹 天ぷら 三太郎","050-5484-8609","","宮城県","仙台市青葉区立町","'1-20","","https://santarou.gorp.jp/","True"
"三陸海鮮と地元牧場のお肉 仙台海蔵 全席ドア付き個室","050-5485-6509","","宮城県","仙台市青葉区国分町","'2-1-22","",""," "
"街道 青葉","022-222-0018","","宮城県","仙台市青葉区中央","'2-4-7","","https://kaidouaoba.gorp.jp/","True"
"Season 花蔵－kagura－","050-5487-6101","","宮城県","仙台市青葉区中央","'2-11-26","ホテルドーミーイン仙台アネックス1F","https://season-kagura.gorp.jp/","True"
"和食 波奈 仙台店","050-5484-7658","","宮城県","仙台市青葉区中央","'2-1-1","","https://washoku-hana-sendaiten.gorp.jp/","True"
"仙台キッチン～SENDAI KITCHEN～","050-5494-2619","","宮城県","仙台市宮城野区榴岡","'1-1-1","JR仙台イーストゲートビル2F","https://ta4v600.gorp.jp/","True"
"個室居酒屋 四季彩‐Shikisai‐ 仙台駅前店","050-5487-4476","","宮城県","仙台市青葉区中央","'3-1-3","aune仙台6F","https://ta20500.gorp.jp/","True"
"大人の隠れ家 個室 全席喫煙可能 伊達家 仙台駅前店","050-5493-7554","","宮城県","仙台市青葉区中央","'1-8-26","ラ・サーミビル3F","https://ta4t702.gorp.jp/","True"
"金市朗 仙台南町通店","050-5487-3796","","宮城県","仙台市青葉区中央","'3-6-12","仙台南町通ビル3F","https://kinichiro-minamimachi.gorp.jp/","True"
"個室居酒屋 くいもの屋わん 仙台西口店","050-5484-2048","","宮城県","仙台市青葉区中央","'1-10-1","ヒューモスファイブB1","https://wan-sendainishiguchi.gorp.jp/","True"
"九州魂 仙台西口店","050-5494-1979","","宮城県","仙台市青葉区中央","'3-1-3","aune仙台5F","https://t078526.gorp.jp/","True"
"【個室完備】和食居酒屋 和咲美 ‐wasabi‐ 仙台駅前店","050-5486-8585","","宮城県","仙台市青葉区中央","'1-8-26","ラ・サーミビル2F","https://ta7u300.gorp.jp/","True"
"仙台みそ料理と個室和食 新古々がみそ 仙台駅前","050-5484-2720","","宮城県","仙台市青葉区中央","'1-7-1","第一志ら梅ビル3F","https://shinkokomiso.gorp.jp/","True"
"三陸・宮城のうまいもの 瑠璃座","050-5484-9779","","宮城県","仙台市青葉区国分町","'2-6-1","やぶやビルB1","https://ruriza.gorp.jp/","True"
"韓国料理 ソウルオモニ","050-5492-0232","","宮城県","仙台市青葉区中央","'2-6-7","太田屋ビル2F","https://t021230.gorp.jp/","True"
"完全個室居酒屋 伊達なおもてなし ＤＵＣＣＡ 仙台駅前店","050-5485-3955","","宮城県","仙台市青葉区中央","'3-6-10","フージャース仙台駅前ビル3F","https://ducca.gorp.jp/","True"
"かこいや 仙台駅前店","050-5484-2154","","宮城県","仙台市青葉区中央","'3-6-10","フージャース仙台駅前ビル6F","https://t003305.gorp.jp/","True"
"個室で楽しむ宮城の日本酒 きょういち","050-5484-1963","","宮城県","仙台市青葉区国分町","'2-11-8","MSCビルディング2F","https://kyoichi.gorp.jp/","True"
"仙台牛 鉄板焼 太朗坊","050-5486-5301","","宮城県","仙台市青葉区一番町","'4-5-7","シエロ一番町4丁目ビル3F","https://t996200.gorp.jp/","True"
"牛たん料理 閣 電力ビル店","050-5487-1620","","宮城県","仙台市青葉区一番町","'3-7-1","電力ビル本館B1","https://ta0b401.gorp.jp/","True"
"洋風（鮭）酒場 鮭cafe＆bar 銀結び","050-5494-7420","","宮城県","仙台市青葉区国分町","'2-13-28","ニュー若竹ビル1F","https://ta3u301.gorp.jp/","True"
